iter	Passed	Remaining
0	20	10019
1	40	10148
2	58	9754
3	78	9682
4	98	9706
5	117	9645
6	137	9662
7	156	9641
8	176	9617
9	197	9663
10	216	9626
11	236	9625
12	256	9602
13	279	9706
14	299	9699
15	320	9692
16	340	9672
17	359	9634
18	381	9651
19	402	9651
20	423	9656
21	442	9621
22	462	9591
23	481	9547
24	501	9533
25	523	9538
26	543	9519
27	563	9498
28	583	9479
29	605	9487
30	626	9481
31	646	9458
32	667	9443
33	687	9421
34	710	9440
35	731	9424
36	751	9399
37	772	9386
38	808	9553
39	833	9587
40	855	9581
41	887	9682
42	934	9932
43	977	10128
44	1012	10234
45	1048	10345
46	1085	10458
47	1137	10707
48	1172	10787
49	1196	10764
50	1223	10767
51	1251	10778
52	1273	10740
53	1296	10706
54	1323	10710
55	1346	10678
56	1370	10647
57	1392	10609
58	1415	10582
59	1439	10555
60	1463	10533
61	1488	10517
62	1513	10499
63	1541	10500
64	1567	10487
65	1592	10473
66	1617	10450
67	1643	10440
68	1670	10432
69	1693	10404
70	1722	10408
71	1747	10390
72	1773	10376
73	1799	10360
74	1822	10330
75	1850	10323
76	1875	10300
77	1899	10278
78	1922	10247
79	1947	10224
80	1971	10197
81	1997	10183
82	2024	10172
83	2051	10162
84	2083	10173
85	2109	10156
86	2133	10129
87	2161	10118
88	2186	10097
89	2209	10067
90	2233	10037
91	2256	10005
92	2285	10003
93	2309	9975
94	2332	9943
95	2355	9912
96	2381	9894
97	2405	9866
98	2428	9835
99	2452	9810
100	2481	9803
101	2506	9781
102	2526	9736
103	2545	9693
104	2569	9664
105	2590	9628
106	2608	9580
107	2628	9542
108	2649	9504
109	2669	9465
110	2690	9427
111	2708	9382
112	2729	9346
113	2748	9305
114	2765	9260
115	2788	9229
116	2808	9192
117	2828	9155
118	2848	9121
119	2875	9105
120	2908	9109
121	2934	9093
122	2957	9064
123	2985	9052
124	3006	9020
125	3032	9002
126	3053	8966
127	3075	8938
128	3096	8905
129	3118	8876
130	3138	8841
131	3158	8806
132	3180	8775
133	3201	8743
134	3221	8709
135	3242	8677
136	3262	8644
137	3284	8615
138	3306	8588
139	3329	8560
140	3351	8532
141	3373	8503
142	3393	8473
143	3415	8442
144	3434	8408
145	3455	8378
146	3475	8345
147	3495	8314
148	3516	8283
149	3536	8252
150	3557	8222
151	3577	8191
152	3600	8166
153	3624	8144
154	3645	8115
155	3667	8087
156	3688	8059
157	3710	8031
158	3732	8004
159	3755	7979
160	3776	7951
161	3799	7926
162	3823	7904
163	3843	7874
164	3864	7845
165	3884	7815
166	3906	7789
167	3926	7758
168	3948	7732
169	3970	7706
170	3991	7679
171	4056	7734
172	4079	7711
173	4118	7716
174	4140	7689
175	4162	7661
176	4182	7633
177	4207	7611
178	4229	7584
179	4252	7560
180	4276	7537
181	4299	7512
182	4321	7486
183	4343	7458
184	4365	7433
185	4386	7405
186	4409	7380
187	4433	7357
188	4455	7330
189	4475	7302
190	4498	7277
191	4522	7254
192	4543	7227
193	4566	7202
194	4585	7172
195	4604	7142
196	4630	7121
197	4651	7094
198	4671	7065
199	4691	7037
200	4716	7015
201	4740	6993
202	4764	6970
203	4785	6944
204	4809	6920
205	4836	6902
206	4854	6871
207	4873	6841
208	4894	6815
209	4913	6785
210	4932	6755
211	4951	6726
212	4969	6696
213	4988	6666
214	5006	6635
215	5024	6606
216	5043	6577
217	5060	6546
218	5081	6520
219	5101	6492
220	5117	6460
221	5138	6434
222	5155	6404
223	5175	6376
224	5193	6347
225	5210	6317
226	5236	6297
227	5255	6270
228	5274	6241
229	5292	6212
230	5308	6182
231	5329	6157
232	5347	6128
233	5367	6101
234	5386	6074
235	5405	6046
236	5425	6021
237	5447	5996
238	5467	5971
239	5484	5941
240	5501	5912
241	5522	5887
242	5545	5865
243	5565	5839
244	5586	5814
245	5604	5786
246	5623	5759
247	5643	5734
248	5663	5709
249	5682	5682
250	5700	5654
251	5720	5629
252	5739	5603
253	5760	5579
254	5779	5553
255	5797	5525
256	5817	5500
257	5837	5475
258	5858	5450
259	5877	5425
260	5896	5399
261	5916	5374
262	5936	5349
263	5956	5324
264	5975	5298
265	5993	5272
266	6013	5247
267	6033	5222
268	6050	5195
269	6069	5170
270	6086	5143
271	6104	5117
272	6125	5093
273	6144	5068
274	6170	5048
275	6188	5022
276	6208	4998
277	6227	4972
278	6246	4947
279	6268	4925
280	6287	4900
281	6310	4878
282	6328	4852
283	6346	4826
284	6368	4804
285	6384	4777
286	6405	4753
287	6423	4728
288	6442	4704
289	6462	4679
290	6482	4655
291	6503	4632
292	6522	4607
293	6539	4581
294	6559	4558
295	6579	4534
296	6604	4513
297	6622	4489
298	6641	4464
299	6660	4440
300	6681	4417
301	6702	4394
302	6721	4369
303	6739	4344
304	6759	4321
305	6777	4296
306	6799	4274
307	6818	4250
308	6836	4225
309	6856	4202
310	6875	4178
311	6897	4155
312	6915	4131
313	6933	4107
314	6953	4083
315	6971	4059
316	6991	4035
317	7009	4011
318	7027	3987
319	7046	3963
320	7063	3938
321	7081	3914
322	7100	3890
323	7118	3866
324	7138	3843
325	7155	3819
326	7172	3794
327	7191	3771
328	7210	3747
329	7227	3723
330	7246	3699
331	7265	3676
332	7281	3651
333	7301	3628
334	7320	3605
335	7340	3582
336	7358	3559
337	7376	3535
338	7394	3511
339	7414	3489
340	7433	3465
341	7451	3442
342	7470	3419
343	7488	3395
344	7507	3373
345	7527	3350
346	7548	3328
347	7565	3304
348	7583	3281
349	7600	3257
350	7619	3234
351	7638	3211
352	7653	3187
353	7673	3164
354	7692	3142
355	7711	3119
356	7730	3096
357	7748	3073
358	7766	3050
359	7784	3027
360	7802	3004
361	7822	2981
362	7840	2959
363	7858	2936
364	7876	2913
365	7893	2890
366	7913	2867
367	7931	2845
368	7949	2822
369	7966	2798
370	7984	2776
371	8002	2753
372	8022	2731
373	8041	2709
374	8059	2686
375	8079	2664
376	8096	2641
377	8114	2618
378	8134	2596
379	8152	2574
380	8171	2552
381	8189	2529
382	8209	2507
383	8227	2485
384	8247	2463
385	8267	2441
386	8285	2419
387	8303	2396
388	8327	2376
389	8345	2353
390	8363	2331
391	8382	2309
392	8400	2287
393	8419	2265
394	8441	2243
395	8462	2222
396	8482	2200
397	8499	2178
398	8521	2157
399	8540	2135
400	8559	2113
401	8578	2091
402	8595	2068
403	8614	2047
404	8634	2025
405	8652	2003
406	8669	1981
407	8689	1959
408	8709	1937
409	8728	1916
410	8751	1895
411	8770	1873
412	8787	1851
413	8807	1829
414	8829	1808
415	8853	1787
416	8873	1766
417	8893	1744
418	8912	1722
419	8932	1701
420	8954	1680
421	8971	1658
422	8988	1636
423	9006	1614
424	9026	1592
425	9045	1571
426	9065	1549
427	9084	1528
428	9103	1506
429	9122	1485
430	9142	1463
431	9161	1442
432	9179	1420
433	9199	1398
434	9217	1377
435	9236	1355
436	9255	1334
437	9273	1312
438	9294	1291
439	9313	1270
440	9333	1248
441	9354	1227
442	9373	1206
443	9392	1184
444	9410	1163
445	9430	1141
446	9449	1120
447	9470	1099
448	9490	1077
449	9509	1056
450	9527	1035
451	9548	1014
452	9570	992
453	9590	971
454	9608	950
455	9628	929
