Model,Technique,Version,AUC,F1,Signal_Significance,Train_Time_sec
XGBoost,Baseline,A,0.8219460856202386,0.7571761927521156,178.66831694323693,20.76
XGBoost,Baseline,B,0.8115440087064121,0.2300174520069808,26.252928087277247,405.88
XGBoost,Baseline,C,0.7736725404925451,0.018848167539267,3.690886276957604,570.82
XGBoost,Class Weights,A,0.8212124646439604,0.7488540503062285,178.64464063682328,242.52
XGBoost,Class Weights,B,0.8065817542831722,0.3738747366404903,26.05397659395073,608.96
XGBoost,Class Weights,C,0.7496036782130394,0.1507668312971146,5.388093429232556,569.89
XGBoost,SMOTE,A,0.8211349520665343,0.7507827235908582,178.87801859202494,734.38
XGBoost,SMOTE,B,0.761019328347008,0.3404420921544209,24.54680744186714,630.65
XGBoost,SMOTE,C,0.7094201875824518,0.1161524500907441,4.626338255341184,446.96
XGBoost,Focal Loss,A,0.8183968275240519,0.7677593340145056,170.93537890870576,563.46
XGBoost,Focal Loss,B,0.8112498756007513,0.4036875303250849,26.9011765159186,602.65
XGBoost,Focal Loss,C,0.781570523170502,0.1871964679911699,5.826286925250715,482.17
XGBoost,Threshold Opt.,A,0.821537819303539,0.7697917351028185,178.57701883792166,601.89
XGBoost,Threshold Opt.,B,0.8067949262806892,0.398348623853211,26.038623254505968,583.84
XGBoost,Threshold Opt.,C,0.7689885456104829,0.1764080765143464,4.060293253991786,458.28
LightGBM,Baseline,A,0.8191327524715923,0.7542053445850915,178.36392407731864,9.77
LightGBM,Class Weights,A,0.8188425508341728,0.7463664476227291,178.40946005813072,10.63
LightGBM,SMOTE,A,0.8175481480693243,0.7472510602368022,178.3332320584585,77.41
LightGBM,Focal Loss,A,0.8156762830048003,0.7652253603265851,170.56248679030162,20.62
LightGBM,Threshold Opt.,A,0.8185016947428585,0.7670321872653614,178.2001671308038,9.69
LightGBM,Baseline,B,0.8107364498739211,0.2321835055156715,25.97950052872569,5.31
LightGBM,Class Weights,B,0.808826088315068,0.3602722988305114,25.498507090026894,5.43
LightGBM,SMOTE,B,0.7618918186203866,0.343055765452622,24.362283392268644,11.86
LightGBM,Focal Loss,B,0.8110152577146047,0.3989908790995536,26.87872528292598,12.63
LightGBM,Threshold Opt.,B,0.8093027203112952,0.3985561991102157,25.9912927207805,5.3
LightGBM,Baseline,C,0.7749436922950466,0.0247678018575851,3.1378581622109447,4.8
LightGBM,Class Weights,C,0.7563098276421942,0.1297709923664122,5.34216911201499,5.08
LightGBM,SMOTE,C,0.7148072214772739,0.1157227560826007,4.730824814136879,11.49
LightGBM,Focal Loss,C,0.7868248777308728,0.1822849807445443,5.700814298643815,9.19
LightGBM,Threshold Opt.,C,0.771247865455861,0.1607044578976334,3.407445820978048,4.83
