Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.8191327524715923,0.7542053445850915,178.36392407731864,9.77
A,Class Weights,0.8188425508341728,0.7463664476227291,178.40946005813072,10.63
A,SMOTE,0.8175481480693243,0.7472510602368022,178.3332320584585,77.41
A,Focal Loss,0.8156762830048003,0.7652253603265851,170.56248679030162,20.62
A,Threshold Opt.,0.8185016947428585,0.7670321872653614,178.2001671308038,9.69
B,Baseline,0.8107364498739211,0.23218350551567152,25.97950052872569,5.31
B,Class Weights,0.808826088315068,0.36027229883051143,25.498507090026898,5.43
B,SMOTE,0.7618918186203866,0.343055765452622,24.362283392268644,11.86
B,Focal Loss,0.8110152577146047,0.39899087909955366,26.87872528292598,12.63
B,Threshold Opt.,0.8093027203112952,0.3985561991102157,25.9912927207805,5.3
C,Baseline,0.7749436922950466,0.02476780185758514,3.1378581622109447,4.8
C,Class Weights,0.7563098276421942,0.1297709923664122,5.34216911201499,5.08
C,SMOTE,0.7148072214772739,0.1157227560826007,4.730824814136879,11.49
C,Focal Loss,0.7868248777308728,0.1822849807445443,5.700814298643815,9.19
C,Threshold Opt.,0.771247865455861,0.16070445789763346,3.407445820978048,4.83
