Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.7606516447796562,0.7196148783873934,169.8559269292175,207.31
A,Class Weights,0.7609474975688879,0.6990983312833525,170.33509280994625,182.76
A,SMOTE,0.7618646687909114,0.7003610807252592,170.30798566911625,330.9
A,Focal Loss,0.7606386714947837,0.7362094037809016,169.8636298989183,156.32
A,Threshold Opt.,0.7606386714947837,0.7362094037809016,169.8636298989183,148.81
B,Baseline,0.7649791505956083,0.0,3.6380343755449944,74.34
B,Class Weights,0.7659334757068812,0.2936117371107943,21.565256295853004,73.63
B,SMOTE,0.7301914538303138,0.28150234741784036,21.794402155391857,191.35
B,Focal Loss,0.7645906095229047,0.3534077284884257,3.8376128944009875,62.9
B,Threshold Opt.,0.7645906095229047,0.3534077284884257,3.8376128944009875,60.09
C,Baseline,0.7436653775472829,0.0,0.0,61.4
C,Class Weights,0.7547992862346349,0.08441418846291651,4.505817643997688,64.56
C,SMOTE,0.7102768731259933,0.07500852369587453,4.57797221265881,189.02
C,Focal Loss,0.7440101789697553,0.00211864406779661,0.0,47.32
C,Threshold Opt.,0.7440101789697553,0.00211864406779661,0.0,56.62
