Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.8181563808284016,0.7543161933280307,178.15467356781733,26.03
A,Class Weights,0.818188855985704,0.7457860137287364,178.29835158062824,26.24
A,SMOTE,0.8166365758185792,0.746514149721228,178.0319552554096,86.61
A,Focal Loss,0.817852624293852,0.7674399030368325,178.20270742030556,23.02
A,Threshold Opt.,0.8181319013344345,0.7669342946092086,178.00002292545298,21.43
B,Baseline,0.8126821489471262,0.21226245966296164,26.246472884510386,12.96
B,Class Weights,0.8123895465618035,0.34941817017188,24.971280969315046,13.69
B,SMOTE,0.7639898492019213,0.3419412288512912,24.454516451745494,24.01
B,Focal Loss,0.8110458901829622,0.3964508212195582,25.128426887448363,12.18
B,Threshold Opt.,0.812341882007561,0.39966508512419757,26.401566733599363,11.61
C,Baseline,0.7943213560999975,0.012644889357218124,3.849741916091625,12.11
C,Class Weights,0.7766457724848058,0.12249152984102163,5.437743214094709,13.32
C,SMOTE,0.7223976852757215,0.11835616438356164,4.693358109515734,23.51
C,Focal Loss,0.760836732269791,0.17094017094017094,5.418368242282288,11.88
C,Threshold Opt.,0.7842530597202657,0.18091009988901222,4.068667356033675,11.62
